basDt,srtnCd,itmsNm,fltRt,clpr,lstgStCnt,justification
2025-05-09,136150,원일티엔아이,165.93,35900,8381030,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-17,151910,퓨처코어,-88.28,75,190071722,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-11-21,151910,퓨처코어,-30.56,25,190071722,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-11-25,151910,퓨처코어,-44.44,15,190071722,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-05,160600,이큐셀,-84.13,492,52765541,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-11,160600,이큐셀,38.89,500,52765541,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-12,212710,아이에스티이,97.37,22500,8999478,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-03-20,214870,한울BnC,-97.1,201,9359221,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-27,214870,한울BnC,-31.76,58,9359221,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-12-15,217590,티엠씨,80.32,16770,24094225,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-06-10,226440,한송네오텍,-96.6,52,65739186,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-06-18,226440,한송네오텍,-59.26,11,65739186,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-07,226590,엠디바이스,32.93,11100,10567784,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-07-07,234030,싸이닉솔루션,69.36,7960,23605000,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-04-23,258540,에스엘테라퓨틱스,-92.17,47,10378119,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-04-25,258540,에스엘테라퓨틱스,50.98,77,10378119,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-05-02,258540,에스엘테라퓨틱스,61.97,115,10378119,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-12-11,261520,이지스,36.67,20500,9551420,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-17,266870,파워풀엑스,-51.4,313,6408680,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-25,268600,셀리버리,-97.86,143,37183234,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-26,268600,셀리버리,-40.56,85,37183234,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-04,268600,셀리버리,-31.03,40,37183234,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-05,268600,셀리버리,-42.5,23,37183234,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-06,268600,셀리버리,-30.43,16,37183234,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-05-19,283100,노보믹스,-85.18,75,7697351,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-05-26,283100,노보믹스,-40.74,32,7697351,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-05-27,283100,노보믹스,40.63,45,7697351,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-05-23,287840,인투셀,95.29,33200,14829094,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-08-11,290380,대유,-74.35,590,24713612,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-08-12,290380,대유,41.53,835,24713612,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-05,299910,애닉,-92.92,487,4721384,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-06,299910,애닉,-41.89,283,4721384,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-10,299910,애닉,-43.0,114,4721384,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-17,303810,동국생명과학,39.22,12530,15992070,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-08-07,309710,아이티켐,92.86,31050,12583001,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-10-01,317450,명인제약,110.17,121900,14600000,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-06-10,323230,엠에프엠코리아,-88.2,19,43274492,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-06-11,323230,엠에프엠코리아,68.42,32,43274492,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-06-13,323230,엠에프엠코리아,-32.0,17,43274492,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-06-16,323230,엠에프엠코리아,-35.29,11,43274492,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-06-17,323230,엠에프엠코리아,-45.45,6,43274492,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-06-18,323230,엠에프엠코리아,-50.0,3,43274492,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-07-15,331740,아우토크립트,40.23,30850,9569672,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-01-24,373160,데이원컴퍼니,-40.0,7800,13605424,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-05-12,376900,로킷헬스케어,34.09,14750,9669449,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-07-25,380550,뉴로핏,45.0,20300,11476035,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-20,388210,씨엠티엑스,117.52,131600,9272688,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-06-30,388610,지에프씨생명과학,112.75,32550,5225709,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-03-06,393970,대진첨단소재,34.56,12110,14796820,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-05-19,424870,이뮨온시아,108.33,7500,73004309,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-08-01,439260,대한조선,84.8,92400,38526312,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-02-14,446600,카이바이오텍,150.0,16000,981281,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-17,446600,카이바이오텍,85.31,29650,981281,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-21,446600,카이바이오텍,-55.99,10980,981281,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-02-24,446600,카이바이오텍,36.61,15000,981281,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-04-04,448900,한국피아이엠,43.75,16100,6004457,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-01-24,450950,아스테라시스,44.35,6640,36514642,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-08-14,456160,지투지바이오,61.72,93800,5365694,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-05-08,459510,나우로보틱스,126.47,15400,12547732,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-02-04,462980,아이지넷,-37.79,4355,18234437,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-07-04,463020,뉴엔AI,156.0,38400,8879200,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-02-20,463480,모티브링크,193.5,17610,12390358,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-07,469610,이노테크,300.0,58800,8876900,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-06-02,475430,키스트론,168.33,9660,17848110,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-05-09,476040,오가노이드사이언스,52.38,32000,6505950,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-18,476830,알지노믹스,300.0,90000,13756000,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-12-17,478340,나라스페이스테크놀로지,64.55,27150,11533591,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-02-24,479960,위너스,300.0,34000,6851000,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-05-22,483650,달바글로벌,66.06,110100,12069665,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-07-23,484120,도우인시스,38.59,44350,10757022,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-08-18,484590,삼양컴텍,116.1,16640,41210450,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-03-20,484810,티엑스알로보틱스,53.33,20700,15450915,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-03,486990,노타,240.66,31000,21161880,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-09-19,488280,에스투더블유,81.44,23950,10587956,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-21,488900,비츠로넥스텍,85.65,12810,28976443,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-05-20,489460,바이오비쥬,101.98,18380,15044430,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-02-25,489500,엘케이켐,180.0,58800,6278056,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-11-13,494120,큐리오시스,300.0,88000,7606082,신규상장 첫날 (공모가 60~400% 제한폭 적용)
2025-01-06,900280,골든센츄리,-40.0,3,205404288,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-01-07,900280,골든센츄리,-66.67,1,205404288,원인 불명 이상치 (데이터 수집 노이즈/검토 필요)
2025-12-09,950250,테라뷰,100.0,16000,35517731,신규상장 첫날 (공모가 60~400% 제한폭 적용)
