basDt,2차전지/화학,IT/반도체,건설/부동산,금융/지주,기계/유틸리티,기타/서비스,미디어/컨텐츠/게임,바이오/헬스케어,소비재/유통/식음료,자동차/운송장비,철강/소재
2025-01-23,-1.6009811320754717,-1.5313307984790876,-0.9383544303797468,-0.4481978798586573,-1.8355487804878048,-0.6190530846484936,-0.9492229729729731,-0.9602390438247012,-0.29064516129032253,-0.5290972222222222,-1.4923668639053256
2025-01-24,0.06245283018867925,0.5324714828897338,0.7296202531645569,0.363356890459364,0.8076829268292683,0.25929799426934097,0.29680134680134684,0.7049603174603175,0.08086021505376342,1.0814583333333332,0.764792899408284
2025-01-31,-0.4779245283018868,-1.178212927756654,-0.6892405063291139,0.374452296819788,-1.3533231707317073,-0.5009598853868195,0.82,-0.48214285714285715,-0.7446236559139785,-0.48763888888888896,-1.0812426035502958
2025-02-03,-2.6986090225563912,-3.4836882129277567,-1.8107594936708862,-1.1026148409893994,-2.857408536585366,-1.8102578796561604,-1.4724579124579125,-2.2177380952380954,-1.075268817204301,-2.835277777777778,-1.7884023668639053
2025-02-04,1.0664285714285715,1.906768060836502,0.980632911392405,0.7701418439716312,1.8851975683890578,1.3280400572246065,2.0433670033670035,1.5759126984126983,1.5654838709677419,1.1696527777777779,0.9876331360946745
2025-02-05,1.171390977443609,1.3782954545454547,0.3072151898734178,0.2173049645390071,1.2558358662613982,0.36157367668097284,1.633030303030303,0.9178968253968254,0.7170967741935483,1.316875,0.43017751479289945
2025-02-06,1.053157894736842,1.1289015151515152,2.4269620253164557,0.45010638297872335,1.2369604863221884,0.34008583690987126,0.674006734006734,0.8167857142857143,0.9881720430107528,0.024097222222222225,0.5526627218934912
2025-02-07,-0.4527067669172932,1.3303030303030303,-0.6215189873417721,-0.3369148936170213,0.36829787234042555,-0.7203004291845494,-0.64996632996633,-0.8138492063492063,-0.6054838709677419,0.4391666666666667,-0.7340828402366864
2025-02-10,0.6440601503759398,1.818901515151515,-0.11392405063291138,-0.0887188612099644,1.4301519756838905,0.18240343347639487,0.8532323232323232,0.2675396825396825,0.5131182795698924,0.08555555555555555,-0.21526627218934907
2025-02-11,0.27409774436090223,0.005568181818181803,0.2516455696202532,0.0036428571428571326,0.4101823708206687,0.16138769670958514,0.45333333333333337,0.08440476190476191,-0.1095698924731183,0.4381944444444444,0.6776331360946746
